UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Paleteria Y Dulceria Jessie 2,660 W Avenue J,Lancaster,CA,93534,34.689404,-118.13972
,Dannys Market,2730 Wabash Ave,Los Angeles,CA,90033,34.050915,-118.19905
,Super Dollar Store,1162 N Avalon Blvd,Wilmington,CA,90744,33.786533,-118.26292
,El Argentino Market,11557 Atlantic Ave,Lynwood,CA,90262,33.919327,-118.18836
,Don Felix Meat Market,3987 Sawtelle Blvd,Los Angeles,CA,90066,34.007599,-118.4168
,Santa Clarita Valley Produce 3,23975 Newhall Ranch Rd,Valencia,CA,91355,34.430485,-118.55596
,Smith Pharmacy Inc,1107 N Western Ave,Los Angeles,CA,90029,34.091049,-118.3092
,Sams Mini Market,411 W Palmdale Blvd,Palmdale,CA,93551,34.582947,-118.13716
,From 98 Cent N/A,2613 N Broadway,Los Angeles,CA,90031,34.073719,-118.21502
,Kim Long Market,324 E Anaheim Street,Long Beach,CA,90813,33.782574,-118.15398
,Petes Market,9141 S Hoover St,Los Angeles,CA,90044,33.953609,-118.28705
,Champan Market,221 W 8th St,Los Angeles,CA,90014,34.043259,-118.25388
,Island Pacific Supermarket IPS-1512,1512 E Amar Rd,West Covina,CA,91792,34.031044,-117.91451
,Maral's Pastry,17654 Vanowen St,Van Nuys,CA,91406,34.19381,-118.51784
,Happy Fish Market,1658 W Manchester Ave,Los Angeles,CA,90047,33.959942,-118.30661
,Manchester 76,633 W Manchester Blvd,Inglewood,CA,90301,33.961735,-118.36686
,Estrella Market,111 E Chestnut St,Glendale,CA,91205,34.139568,-118.25428
,Happys Market,3155 Santa Anita Ave,El Monte,CA,91733,34.065266,-118.04276
,Fresco Community Markets 1,5914 Monterey Rd,Los Angeles,CA,90042,34.104561,-118.18472
,Farmers Produce Co/organic Farms,12904A Sherman Way,North Hollywood,CA,91605,34.201164,-118.41433
,Handy Market,1811 Cabrillo Ave,Torrance,CA,90501,33.829449,-118.31445
,El Rinconcito Water-Mart,1603 E 99th St,Los Angeles,CA,90002,33.946724,-118.24616
,Cinco Coras Market,225 W Anaheim Street,Long Beach,CA,90813,33.782627,-118.19484
,Red Tag Discount Warehouse,12322 Long Beach Blvd,Lynwood,CA,90262,33.915321,-118.20916
,La Chula Market,1837 E Pacific Coast Hwy,Long Beach,CA,90806,33.789913,-118.16945
,One Stop Market,4900 Fountain Ave,Los Angeles,CA,90029,34.095345,-118.29642
,Galleria Market Vermont Lp,440 S Vermont Ave,Los Angeles,CA,90020,34.065792,-118.29163
,Village Center Market,9508 E Palmdale Blvd,Palmdale,CA,93591,34.579735,-117.96002
,Playa Azul Tortilleria Market,1901 Nadeau St,Los Angeles,CA,90001,33.967438,-118.23873
,C & H Discount Market,7611 S Vermont Ave,Los Angeles,CA,90044,33.97065,-118.2919
,Carniceria Guadalajara,7705 Atlantic Ave,Cudahy,CA,90201,33.965446,-118.18706
,Mi Oaxaca Market,3824 Beverly Blvd,Los Angeles,CA,90004,34.076263,-118.29205
,Bandini Market,2313 S Atlantic Blvd,Commerce,CA,90040,34.004726,-118.16535
,V & F Chile Sales,7900 All America City Way,Paramount,CA,90723,33.90176,-118.1619
,Smart Nutrition 1,5186 Atlantic Ave,Long Beach,CA,90805,33.850605,-118.18478
,Cortesia Market,11552 Glenoaks Blvd,Pacoima,CA,91331,34.279903,-118.41821
,Washington Market,5390 W Washington Blvd,Los Angeles,CA,90016,34.039124,-118.36025
,Big Discount 99,6803 Sepulveda Blvd,Van Nuys,CA,91405,34.194004,-118.46625
,99 Cents Only Stores 0325,1030 E Avenue J,Lancaster,CA,93535,34.689453,-118.11113
,Latino's Market,1950 E 76th Pl,Los Angeles,CA,90001,33.970959,-118.23696
,La Oaxaquena Mini Market,5642 Santa Monica Blvd,Los Angeles,CA,90038,34.090721,-118.31288
,Bellamar Market 2,1429 W 3rd St,Los Angeles,CA,90017,34.058697,-118.26252
,Angels Mini Market,1922 E 103rd St,Los Angeles,CA,90002,33.943111,-118.23804
,Granny's Donut 11,6058 Lincoln Ave,Cypress,CA,90630,33.831657,-118.02722
,Monte Dollar,3822 Peck Rd,El Monte,CA,91732,34.074577,-118.02246
,"Le Market, Inc",12516 Burbank Blvd,Valley Village,CA,91607,34.172077,-118.40588
,Dos Amigos Market,13310 San Antonio Dr,Norwalk,CA,90650,33.909882,-118.07521
,Dollar Tree 4517,6120 Lankershim Blvd,North Hollywood,CA,91606,34.181969,-118.38487
,Comrax LLC,1020 W Avenue M,Palmdale,CA,93534,34.645775,-118.14855
,Star Market,801 N Alma Ave,Los Angeles,CA,90063,34.045071,-118.19196
,Dollar Tree 4445,3638 Tweedy Blvd,South Gate,CA,90280,33.944153,-118.20546
,Green Dollar,6732 Greenleaf Ave,Whittier,CA,90601,33.979988,-118.03735
,Daniel Market,7119 Seville Ave,Huntington Park,CA,90255,33.974812,-118.22248
,Al-Salam Market,4636 Del Amo Blvd,Torrance,CA,90503,33.848568,-118.36182
,Hawatmeh Mobil,4380 W Adams Blvd,Los Angeles,CA,90018,34.032562,-118.33445
,The Milk Barn,4855 N Bellflower Blvd,Long Beach,CA,90808,33.846432,-118.12512
,Harrys Mobil Mini Mart,110 E Palmdale Blvd,Palmdale,CA,93550,34.579811,-118.12913
,Joy Bargain,4364 S Vermont Ave,Los Angeles,CA,90037,34.00407,-118.29153
,Venice Market,1339 Venice Blvd,Los Angeles,CA,90006,34.043396,-118.28315
,Best Buy Meats,7108 Crenshaw Blvd,Los Angeles,CA,90043,33.975311,-118.33083
,Mother's Nutritional Center 202,250 E Manchester Ave,Los Angeles,CA,90003,33.960052,-118.27058
,Continental Bakery 4,280 S Rampart Blvd,Los Angeles,CA,90057,34.066635,-118.27856
,Baith Al Halal,17515 Chatsworth St,Granada Hills,CA,91344,34.264889,-118.51588
,Pico Drive In Dairy,9001 Beverly Rd,Pico Rivera,CA,90660,34.007828,-118.08131
,Rio Market,10619 S Main St,Los Angeles,CA,90003,33.93948,-118.27393
,99 Cents Only Store 326,38360 20th St E,Palmdale,CA,93550,34.579147,-118.09402
,Snack Spot,1566 West 162th St,Gardena,CA,90247,33.891945,-118.29713
,Johnnie's Market,2017 N Eastern Ave,Los Angeles,CA,90032,34.06641,-118.18034
,Zubeda Mini Market,1253 Sepulveda Blvd,Torrance,CA,90502,33.813026,-118.29772
,Atlantic Dairy,12306 Atlantic Ave,Lynwood,CA,90262,33.910538,-118.19175
,Sinai Mini Market,1820 W 54th St,Los Angeles,CA,90062,33.993195,-118.30943
,Tony's Market,2813 N Glenoaks Blvd,Burbank,CA,91504,34.203476,-118.33488
,Mercado Benito Juarez,3270 W 8th St,Los Angeles,CA,90005,34.057671,-118.29928
,99 Cent Center Plus,7217 Foothill Blvd,Tujunga,CA,91042,34.248768,-118.28888
,Dollar World One,3030 N Broadway,Los Angeles,CA,90031,34.073673,-118.20998
,Palomino Market,3085 E Gage Ave,Huntington Park,CA,90255,33.980789,-118.21281
,99 Cent Outlet,311 W Willow St,Long Beach,CA,90806,33.804478,-118.19511
,Metro Market,1930 W 7th St,Los Angeles,CA,90057,34.055561,-118.27494
,Little Childrens Nutrition,12819 Penn St,Whittier,CA,90602,33.97551,-118.0395
,Henny Penny Market,10443 S Normandie Ave,Los Angeles,CA,90044,33.941364,-118.30035
,Dollar Tree 4556,4160 Lincoln Blvd,Marina del Rey,CA,90292,33.987011,-118.44453
,Dollar Tree 4509,1101 W Avenue I,Lancaster,CA,93534,34.703987,-118.1501
,Dollar Tree 4568,4259 Maine Ave,Baldwin Park,CA,91706,34.089756,-117.96051
,Dollar Club,13441 Hawthorne Blvd,Hawthorne,CA,90250,33.910122,-118.35278
,Holmes Homemade Chicken Sausage,12020 S Central Ave,Los Angeles,CA,90059,33.92321,-118.25433
,Le Bon Patissier 2,3038 Foothill Blvd,La Crescenta,CA,91214,34.227337,-118.24517
,JN Bargain,517 S Burlington Ave,Los Angeles,CA,90057,34.058178,-118.271
,West Market,4650 W Adams Blvd,Los Angeles,CA,90016,34.032532,-118.34187
,Alta Dena Express,16138 San Fernando Mission Blvd,Granada Hills,CA,91344,34.271893,-118.48389
,Village Market Place Community Services Unlimited,6569 S Vermont Ave,Los Angeles,CA,90044,33.979286,-118.29185
,Bo's Altadena Market 1,153 W Altadena Dr,Altadena,CA,91001,34.195606,-118.15043
,Dollar Tree 4584,5817 N Figueroa St,Los Angeles,CA,90042,34.110374,-118.19128
,La Chelita Mini Market,13991 Prairie Ave,Hawthorne,CA,90250,33.904442,-118.34389
,Arroyo's Meat Market,505 Workman Mill Rd,La Puente,CA,91746,34.040962,-117.99841
,Central Store,10105 S Central Ave,Los Angeles,CA,90002,33.944714,-118.25414
,Freddy's Market,3433 Tweedy Blvd,South Gate,CA,90280,33.944641,-118.20903
,Lancaster 76,505 W Avenue J,Lancaster,CA,93534,34.689457,-118.136
,Mercado Latino Meat Market,10334 Firmona Ave,Inglewood,CA,90304,33.941959,-118.35697
,TC Bakery,3856 Peck Rd,El Monte,CA,91732,34.075157,-118.02217
,Bristol Farms 0001,837 Silver Spur Rd,Rolling Hills Estates,CA,90274,33.770264,-118.36755
,Bristol Farms 0002,606 Fair Oaks Ave,South Pasadena,CA,91030,34.11871,-118.15028
,Bristol Farms 0003,1570 Rosecrans Ave,Manhattan Beach,CA,90266,33.901768,-118.38647
,Bristol Farms 0004,8448 Lincoln Blvd,Los Angeles,CA,90045,33.960918,-118.42014
,Bristol Farms 0006,2080 N Bellflower Blvd,Long Beach,CA,90815,33.793491,-118.1252
,Bristol Farms 0009,7880 W Sunset Blvd,Los Angeles,CA,90046,34.098022,-118.36113
,Bristol Farms 0010,9039 Beverly Blvd,West Hollywood,CA,90048,34.077217,-118.38902
,Bristol Farms 0015,1515 Westwood Blvd,Los Angeles,CA,90024,34.05394,-118.44064
,South City AM/PM 82858,10602 Imperial Hwy,Norwalk,CA,90650,33.917004,-118.1076
,Bazar Gabyglo,6811 Hazeltine Ave,Van Nuys,CA,91405,34.194099,-118.44001
,Tijuana Meat 2,11142 Burbank Blvd,North Hollywood,CA,91601,34.172123,-118.37395
,Q Bargain,8532 Long Beach Blvd,South Gate,CA,90280,33.959831,-118.22279
,GUANAJUATO MEAT MARKET 5,235 S Pacific Ave,San Pedro,CA,90731,33.741741,-118.28793
,Casa Food Mart,11885 Foothill Blvd,Sylmar,CA,91342,34.274662,-118.39524
,Silvia Flower Shop / Market Food,13272 Van Nuys Blvd,Pacoima,CA,91331,34.265839,-118.42242
,El Super 27,3211 Firestone Blvd,South Gate,CA,90280,33.954929,-118.21304
,L Cigarette Shop Inc,112 E Avenue J,Lancaster,CA,93535,34.689426,-118.12978
,Familys Market,633 N Spring St,Los Angeles,CA,90012,34.058796,-118.23849
,Baby's World,804 S Alvarado St,Los Angeles,CA,90057,34.054615,-118.27798
,Alta Dena Drive Inn Dairy,9201 Las Tunas Dr,Temple City,CA,91780,34.105766,-118.06776
,Payless Market,5714 S Western Ave,Los Angeles,CA,90062,33.990089,-118.30892
,Carniceria El Milagro,8070 Wilcox Ave,Bell Gardens,CA,90201,33.960285,-118.1792
,Odessa Grocery,12129 Magnolia Blvd,Valley Village,CA,91607,34.164944,-118.3974
,Yushin Enterprise Inc,619 1/2 S Olive St,Los Angeles,CA,90014,34.047413,-118.25486
